High,Low
6389.4,6088.8
6409.7,6296.6
6686.8,6291.5
6793.8,6637.7
6784,6694.3
6805.9,6531.1
6638.2,6458.3
6693.6,6466.1
6774.5,6442.3
6676.6,6513.5
6680,6275
6445.1,6284.7
6498.5,6204
6284.9,5818.5
6178.4,5854
6187.3,6025.4
6267.7,6060
6331.2,6101.7
6248.3,5785.3
6259,6032.8
6739.7,5955
6797.5,6695.1
6812.7,6575.1
6839.5,6681.5
6794.5,6410.9
6593,6452.1
6564.2,6358
6655.8,6395.7
6711.5,6283.6
6624.6,6129.1
6887.2,6476
6910.8,6657.2
7516.3,6668.1
7689,7493.3
7710.5,7556.9
7754.7,7657.7
7699.1,7504.4
7672.6,7391
7759.9,7468.4
7775,7611.3
7694.5,7467.9
7610.4,7375.8
7611.9,7355
7565.2,7306.8
7533,7069.8
7446.9,7090.6
7411.8,7267.5
7619.3,7331.5
7653.4,7355.6
7736.6,7293.4
8047.4,7467.6
8414.5,7979.3
8550.6,8375.5
8580.4,8184.7
8389.1,8153.2
8273.6,7939.8
8458.7,8022.3
8496.4,8120.1
8842.1,8436.5
8878.3,8305.1
8758.4,8330
8646.1,8184.1
9028.7,8359.6
9393.3,9013.4
9377.9,8988
9404.4,9079.8
9675.6,9204.2
9957.7,9446.7
9992.8,9691.3
9800.9,9549
9809.4,9171.4
9265.7,8991.9
9245.1,8851
9456.7,9135.4
9565.1,9182.8
9428.9,8895.5
9386.3,8920.2
9303.6,8669.8
9753.1,8768.1
9734.8,8937
9001,8785.3
9022.3,8766.5
9027.7,8614.5
8926.2,8224.5
8303.7,8126.7
8227.6,7895.3
8171.7,7852.8
8412.9,7908.5
8411.5,8004.6
8180.2,7839.3
8228,7756.6
8009.6,6779.3
6988.6,6818.4
6899.5,6671.6
7192.5,6633.2
7113.4,6903.9
7071.9,6616.1
6859.7,6523.4
6918.2,6592.5
7432.9,6726.9
7519.3,7032.9
7121.3,6787.6
7047.7,6460.1
7221.5,6804.9
7288.1,6603.8
7980.7,6954.9
8110.4,7754.5
8218.3,7760.6
8515.7,7865.9
8679,8392.2
9008.8,8523.6
8917,8305.6
9096.2,8499.1
9173.4,8775.1
9039.6,8326.8
8698.3,8127.7
8283.6,7323.3
8344.8,7760.2
8604.8,7929.1
8427,7691.7
